Name;Run;Objective;TotalOrders;HandledOrders;RejectedOrders;Runtime;
rnd_ins;1;911;42;28;0;15,4573574;
OptimumEstimation;1;1064,999778;OPTIMAL
rnd_ins;2;1120;59;36;7;22,952995;
OptimumEstimation;2;1528,999448;OPTIMAL
rnd_ins;3;979;59;34;5;27,9398751;
OptimumEstimation;3;1323,9997090000002;OPTIMAL
evo_directed;1;933;42;27;0;80,0861635;
evo_randomized;1;913;42;27;0;78,8678511;
rnd_ins;4;1011;61;36;8;29,2025828;
OptimumEstimation;4;1427,499462;OPTIMAL
rnd_ins;5;914;55;35;2;24,4413464;
OptimumEstimation;5;1156,4992770000001;OPTIMAL
rnd_ins;6;1317;67;35;10;30,5800667;
OptimumEstimation;6;1847,9987090000002;OPTIMAL
evo_randomized;2;1228;59;34;4;103,5310649;
evo_directed;2;1263;59;33;4;117,0296001;
rnd_ins;7;821;55;24;5;27,294975;
OptimumEstimation;7;1190,999556;OPTIMAL
rnd_ins;8;917;60;33;6;31,0767897;
OptimumEstimation;8;1263,3321743333333;OPTIMAL
rnd_ins;9;938;46;26;2;25,4647422;
OptimumEstimation;9;1161,999495;OPTIMAL
rnd_ins;10;983;69;38;9;38,1712415;
evo_randomized;3;986;59;32;2;119,8120921;
OptimumEstimation;10;1600,5996958;OPTIMAL
evo_directed;3;1011;59;31;0;131,9833282;
evo_randomized;4;1096;61;34;4;100,4512978;
evo_directed;4;1111;61;34;5;108,6094382;
evo_randomized;5;938;55;32;3;82,2745262;
evo_directed;5;939;55;34;2;88,7194411;
evo_randomized;6;1299;67;32;6;98,6892404;
evo_directed;6;1306;67;31;6;105,109474;
evo_randomized;7;885;55;25;0;83,014268;
evo_directed;7;914;55;24;0;85,2054588;
evo_randomized;8;1011;60;30;2;85,076031;
evo_directed;8;971;60;31;1;95,3765639;
evo_randomized;9;970;46;26;1;66,9694558;
evo_directed;9;976;46;26;0;70,0777228;
evo_randomized;10;1147;69;33;4;101,376642;
evo_directed;10;1137;69;35;4;90,9851644;
evo_mutations;1;967;42;26;0;60,284571;
evo_bestfit;1;955;42;26;0;60,6582761;
evo_mutations;2;1294;59;35;3;84,6563007;
evo_bestfit;2;1289;59;34;4;104,6561756;
evo_mutations;3;1045;59;34;0;88,5013629;
evo_bestfit;3;1055;59;35;0;117,2965064;
evo_mutations;4;1157;61;39;2;95,249093;
evo_bestfit;4;1133;61;38;2;121,8274057;
evo_mutations;5;977;55;36;2;79,2045541;
evo_bestfit;5;953;55;35;1;90,782063;
evo_mutations;6;1366;67;35;3;89,4841317;
evo_mutations;7;940;55;24;0;72,1716167;
evo_bestfit;6;1371;67;34;3;114,0616653;
evo_mutations;8;1027;60;33;0;81,5917371;
evo_bestfit;7;931;55;24;0;89,4505952;
evo_mutations;9;978;46;24;1;64,9387546;
evo_bestfit;8;1004;60;32;0;105,6544083;
evo_mutations;10;1185;69;35;2;97,3119614;
evo_bestfit;9;999;46;25;1;55,9688299;
evo_bestfit;10;1200;69;38;2;84,4528312;

