Name;Run;Objective;TotalOrders;HandledOrders;RejectedOrders;Runtime;
Evo_routecx;1;1199;51;29;0;44,3635032;
OptimumEstimation;1;1341,999447;OPTIMAL
Evo_plancx;1;1189;51;29;0;47,8571134;
Evo_plancx;2;1203;69;33;9;82,1894077;
OptimumEstimation;2;1558,9996070000002;OPTIMAL
Evo_routecx;2;1252;69;36;8;102,1636781;
Evo_plancx;3;1258;59;31;1;57,6379705;
OptimumEstimation;3;1496,9995330000002;OPTIMAL
Evo_routecx;3;1274;59;30;2;64,1401288;
Evo_plancx;4;1168;60;30;4;60,6946397;
OptimumEstimation;4;1463,0796368000001;OPTIMAL
Evo_routecx;4;1179;60;29;5;69,1149379;
Evo_plancx;5;1209;63;39;4;60,7683905;
OptimumEstimation;5;1446,9993020000002;OPTIMAL
Evo_routecx;5;1221;63;40;3;69,4221403;
Evo_plancx;6;1102;69;33;1;80,9365586;
OptimumEstimation;6;1493,549806;OPTIMAL
Evo_routecx;6;1095;69;32;1;115,7587787;
Evo_plancx;7;1147;60;35;2;65,1295984;
OptimumEstimation;7;1418,856846857143;OPTIMAL
Evo_routecx;7;1168;60;33;4;86,0423491;
Evo_plancx;8;1312;68;34;3;86,0484894;
OptimumEstimation;8;1768,999471;OPTIMAL
Evo_plancx;9;1303;59;32;2;56,9427173;
OptimumEstimation;9;1611,9993120000001;OPTIMAL
Evo_routecx;8;1353;68;34;2;112,3779184;
Evo_plancx;10;1303;64;37;0;65,1906942;
OptimumEstimation;10;1561,999375;OPTIMAL
Evo_routecx;9;1305;59;32;2;61,4412026;
Evo_routecx;10;1332;64;34;1;64,9435969;
